"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher","avgt",1,5,"288,785682","101,037569","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.alloc.rate","avgt",1,5,"1287,884218","412,682233","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.alloc.rate.norm","avgt",1,5,"387741653,600000","1190401,088434","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.count","avgt",1,5,"5,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.time","avgt",1,5,"5,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher","avgt",1,5,"283,468865","201,084825","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.alloc.rate","avgt",1,5,"1337,520758","902,345850","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.alloc.rate.norm","avgt",1,5,"387470903,733333","344265,467324","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.count","avgt",1,5,"5,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.time","avgt",1,5,"14,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher","avgt",1,5,"0,357512","0,202573","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.alloc.rate","avgt",1,5,"779,714764","416,283600","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"287603,542061","12613,074809","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.count","avgt",1,5,"3,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.time","avgt",1,5,"2,000000",NaN,"ms"
